,Present,Imperfect,Aorist,Future,Perfect,Pluperfect
Matthew,135.0140056022409,13.445378151260504,185.34080298786182,33.33333333333333,10.737628384687207,0.7469654528478058
Mark,148.67256637168143,43.95280235988201,173.89380530973452,18.87905604719764,13.864306784660767,1.1799410029498525
Luke,129.2863762743281,36.74698795180723,192.7710843373494,19.78683966635774,15.755329008341057,1.5291936978683967
John,179.27864214992928,24.54031117397454,149.0806223479491,21.4992927864215,33.097595473833096,2.545968882602546
Paul,152.41855873642643,4.244817374136229,82.18163869693979,15.94274432379072,19.545903257650544,0.04935834155972359
Hebrews,140.59405940594058,8.91089108910891,110.56105610561056,17.491749174917494,28.38283828382838,0.0
Catholic,161.20401337792643,5.351170568561873,103.67892976588628,18.394648829431436,21.070234113712374,0.0
