,Present,Imperfect,Aorist,Future,Perfect,Pluperfect
Gospel,146.40021175224987,29.248279512969827,175.17204870301748,25.727898358920065,17.204870301746954,1.7469560614081523
Acts,124.82621648460774,42.10526315789473,203.17775571002977,11.022840119165839,16.583912611717974,1.6881827209533267
Pauline Ep.,152.41855873642643,4.244817374136229,82.18163869693979,15.94274432379072,19.545903257650544,0.04935834155972359
Hebrews,140.59405940594058,8.91089108910891,110.56105610561056,17.491749174917494,28.38283828382838,0.0
Catholic Ep.,194.8955916473318,5.800464037122969,91.64733178654292,15.777262180974477,31.09048723897912,0.23201856148491878
Apocalyptic,156.68316831683168,10.891089108910892,169.05940594059405,29.7029702970297,31.93069306930693,0.24752475247524752
